pdb,total_sasa,rl
seq_000169_model_0.pdb,8659.606167151582,6.7467723139
seq_000170_model_0.pdb,9770.7448513305,8.07902952514
seq_000171_model_0.pdb,8768.830410570536,7.9575984086
seq_000172_model_0.pdb,9609.934382057443,3.54704163364
seq_000173_model_0.pdb,9233.884096934984,3.90549142058
seq_000174_model_0.pdb,8927.751287960446,3.85410455241
seq_000175_model_0.pdb,9372.407701077062,4.23214364234
seq_000176_model_0.pdb,8760.026229222149,3.70956510239
seq_000177_model_0.pdb,8485.698164049785,3.59214081609
seq_000178_model_0.pdb,9294.55485128199,4.22450010887
seq_000179_model_0.pdb,9885.347537232674,3.61393781288
seq_000180_model_0.pdb,9550.776551673249,5.37968444524
seq_000181_model_0.pdb,8617.81595994245,3.60829460444
seq_000182_model_0.pdb,8910.705599479072,2.82526151089
seq_000183_model_0.pdb,10317.651454666362,2.58073538008
seq_000184_model_0.pdb,9276.235547535844,3.9719095568
seq_000185_model_0.pdb,8939.322817445722,3.35571414544
seq_000186_model_0.pdb,9650.814658319983,2.45145475587
seq_000187_model_0.pdb,9092.84622308328,4.2239863751
seq_000188_model_0.pdb,8639.77736963252,3.41906251061
seq_000189_model_0.pdb,8825.466098450432,4.45476129571
seq_000190_model_0.pdb,9301.41823495444,5.52384021572
seq_000191_model_0.pdb,9176.893895677887,7.59010598557
seq_000192_model_0.pdb,9480.538065210912,4.58649742339
seq_000193_model_0.pdb,9577.567483845318,3.77140690066
seq_000194_model_0.pdb,9107.75917869873,3.29590452285
seq_000195_model_0.pdb,9075.864971227753,4.91709114792
seq_000196_model_0.pdb,9496.52502512828,5.00474070295
seq_000197_model_0.pdb,9784.953834749213,3.13585452636
seq_000198_model_0.pdb,9272.71745495768,4.30871336668
seq_000199_model_0.pdb,9613.711641667584,3.00377043759
seq_000200_model_0.pdb,9461.301209226756,3.41629180991
seq_000201_model_0.pdb,8862.646403316436,2.94255304002
seq_000202_model_0.pdb,10144.988052661416,4.21073171297
seq_000203_model_0.pdb,9647.377829229468,5.51575447309
seq_000204_model_0.pdb,9636.823093879972,3.06706741483
seq_000205_model_0.pdb,9637.855942273562,3.66328663378
seq_000206_model_0.pdb,8993.86197999465,4.5157514061
seq_000207_model_0.pdb,9886.995427332442,7.87600721651
seq_000208_model_0.pdb,9108.130608514057,3.37300306045
seq_000209_model_0.pdb,9469.908453064209,4.0604286267
seq_000210_model_0.pdb,9023.074803404994,3.11332516316
